0;;;Qual a relação entre Reforma Trabalhista e eSocial?;;;Em conjunto, eSocial e Reforma Trabalhista representam um grande marco nas relações entre empregados e empregadores, além de facilitar as fiscalizações e autuações;;;Gestao
1;;;Crimes econômicos entram na mira do rastreador Risk Money Monitor;;;Ferramenta em software atua diretamente na prevenção à lavagem de dinheiro monitorando atividades suspeitas ou atípicas;;;Gestao
2;;;Diversidade de gênero em segurança e gestão de risco gera melhores resultados, diz Gartner;;;Equipes que incluem mulheres oferecem uma solução imediata e de longo prazo para o problema global de falta de mão de obra;;;Gestao
3;;;SAS leva soluções de analytics contra risco e fraude para o CIAB 2017;;;Soluções de prevenção a fraude, gerenciamento de risco, customer intelligence e visualização de dados para setor financeiro estão na vitrine;;;Gestao
4;;;Empresas já podem validar documentos juridicamente via blockchain no Brasil;;;Direct.One é uma das empresas que gera e valida, na rede Ethereum Blockchain, apólices, endossos e boletos para as maiores seguradoras do país;;;Gestao
5;;;Falta de compliance com a nova GDPR pode fechar empresas na UE ;;;47% das companhias ouvidas em pesquisa da Veritas duvidam que conseguirão cumprir as exigências de proteção de dados em tempo;;;Gestao
6;;;Blockchain vai além de serviços financeiros e mudará a sociedade, afirma especialista;;;Para analista do Gartner, as implicações da tecnologia para as nossas vidas vão além da nossa imaginação;;;Gestao
7;;;Investigação da Lava Jato sobre propina envolve Ação Informática e Oracle ;;;Em 2010, Ação pagou à Credencial Construtora R$ 4,9 milhões por "consultoria" em contrato de R$ 53,2 milhões para venda de software ao Banco do Brasil;;;Gestao
8;;;Operação Lava Jato acelerou a busca por compliance, observa Abes;;;Campanha da Associação alerta para o uso de software pirata na cadeia produtiva de tecnologia no Brasil;;;Gestao
9;;;Empresa disponibiliza software gratuito para emissão de NF-e;;;Varitus quer ocupar espaço aberto com o fim da gratuidade do emissor fornecido pelo Sefaz;;;Gestao
10;;;Mais nove cidades brasileiras terão domínios exclusivos sob o &quot;.br&quot;;;;Entre as novas opções estão nomes como "osasco.br", "bsb.br", "maceio.br" e “rio.br". Confira o calendário e registre um domínio com o nome de sua cidade;;;Gestao
11;;;Conheça o Wi-FI HaLow, o padrão de conexões para a Internet das Coisas;;;Essa nova versão de Wi-Fi é baseada na especificação IEEE 802.11ah e foi anunciada esta semana pela Wi-Fi Alliance;;;Gestao
12;;;Simpress lidera mercado brasileiro de outsourcing de impressão em 2016, aponta IDC;;;Segundo a consultoria, a empresa foi o canal líder em serviços de terceirização de impressão e gestão de documentos com 21,5% de participação em receita e 23,8% em páginas impressas;;;Gestao
13;;;Concentrix reestrutura diretoria e muda comando no Brasil;;;Em franca expansão no país, a multinacional especializada em outsourcing contratou o executivo Daniel Moretto para assumir a direção geral da empresa;;;Gestao
14;;;Le Biscuit aumenta em 167% parque de impressão e reduz em 20% consumo de papel;;;Em parceria com a Simpress, varejista conquistou ganhos financeiros e promoveu uma mudança cultural dentro da companhia;;;Gestao
15;;;Microcity supera meta do 3º trimestre e prevê crescimento de 10% no ano;;;A empresa projeta um faturamento de R$ 110 milhões em 2016, motivado, principalmente, pelos negócios com nuvem híbrida e pelo setor de varejo;;;Gestao
16;;;BPO como acelerador da transformação de processos tradicionais em digitais;;;Terceirização deve ser percebida como serviço de alta performance, que carrega experiências consolidadas e pode transformar resultados;;;Gestao
17;;;Formação de talentos na contramão da terceirização;;;O cenário requer avaliação, e a eficácia das soluções que existem e as que ainda estão por vir vai variar de empresa para empresa;;;Gestao
18;;;Epson entra no mercado de outsourcing de impressão no Brasil;;;Movimento vincula-se ao lançamento da linha WorkForce Pro. Fabricante afirma que solução entrega uma experiência mais eficiente, autônoma e com custos reduzidos;;;Gestao
19;;;HPE chama desenvolvedores para nova arquitetura computacional open source;;;Companhia liberou ferramentas que permite a programadores criarem sistemas open source para o "The Machine";;;Gestao
20;;;Alta do dólar melhora posição do Brasil como destino para outsourcing;;;Relatório do Everest Group destaca oportunidades e riscos de contratar serviços terceirizados de TI na América Latina;;;Gestao
21;;;Indra assume testes de software e integrará o ERP SAP na Vivo e GVT;;;Contrato expande aliança entre as empresas. Atualmente, mais de 600 profissionais da provedora prestam suporte à área TI da telco;;;Gestao
22;;;Decreto cria comitê estratégico para disseminação do modelo BIM no Brasil;;;Ministério da Indústria e Comércio exercerá a presidência do Comitê Interministerial para implementação do modelo de gestão de informação na construção civil;;;Gestao
23;;;Talvez você já faça gestão de risco e nem saiba;;; Se você é da área de TI ou conhece os conceitos do PMI (Project Management Institute) para gestão de projetos, certamente já ouviu falar sobre isso;;;Gestao
24;;;Souza Cruz aumenta eficiência com ferramenta de gerenciamento de projetos;;;Implementação da ferramenta EPM reduz custos e facilita a gestão de projetos da empresa;;;Gestao
25;;;Desafios da transformação: como os CIO podem ser os próximos CDOs;;;Quem vai liderar a transformação digital nas empresas? A escolha natural seria o CIO, mas surge um novo operador na equação: o CDO;;;Gestao
26;;;Gestão de telecom cooperativa traz ganhos para todos;;;Cooperação possibilita que algumas competências possam ser gerenciadas internamente, enquanto áreas especializadas podem ser terceirizadas;;;Gestao
27;;;Hiperconvergência: Este é o momento para investir;;;Entre as cinco razões para aderir estão redução em até 30% do custo total de propriedade e 80% o espaço ocupado;;;Gestao
